"email_address"	"active_send"	"active_receive"
"UQZXVWHPAR@GSLJXDZV.com"	1	0
"RLKSLDNYTDW@SIDPRQ.com"	1	0
"ONVGUCDMEACP@HMXNGE.com"	1	1
"DSMIX686@gmail.com"	1	0
"QHVKQNOGRG@DHQWP.com"	1	1
"FGA@hotmail.com"	0	0
"CFBAPJLVTGN@EBZULUER.com"	1	0
"YNTKBEXJANEP@WLMKCJU.com"	1	0
"MEAVGBKPVB@GYAEKFE.com"	1	1
"URHEUJIWCRCI@LZKSZZ.com"	1	1
"DBCAVLYRVOVV@TAROQGKE.com"	1	0
"PJVXYBIDWAS@JPSOWMQS.com"	1	0
"ADCUMJVTUMAD@PCZFGJ.com"	0	1
"OYIJEEEZBRKC@IRNXF.com"	0	1
"TODRSMYDRZFY@UPRWCL.com"	1	1
"ZQVCDHAZPD@GCPJBA.com"	1	1
"HKSU422@gmail.com"	1	0
"YYMARUEWRMH@JWLCJT.com"	0	1
"TENMFJEROPQ@RIQRGKY.com"	1	0
"UHSUDS380@gmail.com"	0	0
"ZKWYJEDSDX@QBJAROOY.com"	1	1
"SJYBRYLMKF@NTYDLZQV.com"	0	0
"outdoorlivingGLUBC@gmail.com"	0	0
"LSQII@gmail.com"	0	0
"DGF.DGF@gmail.com"	1	0
"WMLMCJWWMRBK@EFHITG.com"	1	1
"WOYJQZBWONMD@QKQQLBZC.com"	1	0
"JZTNIAMISZ@NXXLFW.com"	1	1
"RANHMGYVOI@LSTXSVYU.com"	1	0
"BLLDINBFMAL@CXJQXZZ.com"	1	0
"XAFWRZEDUMJ@DSHTPY.com"	0	0
"ZRDIQGIEEZNT@FEKKT.com"	1	1
"HMUCYUIJEKX@SLVJJX.com"	0	1
"LSMZZTBDDHU@SXAJO.com"	1	0
"JNFOVFOHJP@KPGDGED.com"	1	1
"WFRIUPQOCK@TXXFUB.com"	1	1
"OOKBAOFSISTM@GMKZL.com"	1	1
"AMPPYYUFPY@CGXXJI.com"	1	1
"JLMGAKLGKUZR@ERFXLX.com"	1	0
"QCCNOMIQIROW@QLDSZ.com"	1	1
"PGNBNCIFBJVX@KZFEVU.com"	1	1
"ZUHCJMIGZBS@LKEWYC.com"	1	0
"PYVPSNVECUM@CJGHL.com"	0	0
"RFTCLEKUEDXI@RZVROQO.com"	0	0
"MBXA.MBXA@gmail.com"	0	0
"JIEVDXSDKCVQ@EGLGR.com"	1	1
"HYOIITMKSZU@SDESUMY.com"	1	1
"growerSFO@gmail.com"	0	1
"HJCJGSNXLIFO@XTMKM.com"	1	1
"EPEBZFYTOQTX@SUSHHSFM.com"	1	0
"BQAAEAYJEUXU@PYEAUJBM.com"	1	1
"ABXWXOEZPPKW@KFTZOG.com"	1	1
"LKCLIRGAKBNT@FJFJGV.com"	0	1
"RODDWPDKLJGP@GBGVQ.com"	1	0
"AQGFXGUDAP@YBMCP.com"	1	1
"SFVHTACPIT@IDWBP.com"	1	1
"MSRIXTYRPGIH@STLKICUN.com"	0	1
"NXEDLACFWCB@IATNYVP.com"	1	0
"FDDCEANLVZHJ@HKFKIJUO.com"	0	0
"BGIBKMFXFM@EPDOCHOU.com"	1	0
"SVINZDXORLV@XREZJZLG.com"	1	0
"TBDUCWOVMBL@YYMGW.com"	1	1
"PURDORKJEKA@MOWOEW.com"	1	1
"DAFABEJXAEYQ@AHICX.com"	1	0
"ENQHPZEMVX@QVEBWXX.com"	1	1
"GLTXDQIYVIGR@VPSXOA.com"	1	1
"WVAUWGnursery@yahoo.com"	0	0
"GPIEYZ120@yahoo.com"	0	0
"LAMUXWQJJMJM@HQCSQJ.com"	0	1
"QAPNKVRBZGN@KMHWIO.com"	1	1
"DNXGSKTJPDTC@OXVBIDV.com"	1	0
"YEDBPUJGRLY@JSUFUGW.com"	1	0
"RTHETQNJWUEK@QRVBFLFC.com"	1	1
"EKYKFDPVKRH@KYHJQNTV.com"	0	0
"NCGYFDCAQPQO@ZIRDJ.com"	1	1
"ASEXEWCFHQ@NVIZVVZZ.com"	1	1
"landscapedesignerZLRXUKKV@gmail.com"	0	1
"YXWCBFJCND@OZRMOIKL.com"	1	0
"CSOEDXMNNCEC@BPCLSI.com"	1	0
"JBNGFDUIZQU@KQLTSH.com"	1	1
"KHRFQSADFSJ@AWYKGYPT.com"	1	1
"DYKQDHGXMBUM@IXMEGI.com"	1	1
"ARINIQPGYNH@AHUPT.com"	1	0
"NOKVPCKUPQA@GTIZMEA.com"	1	0
"ZZFMVFQJLUY@AXHDVANH.com"	1	1
"WRNJRFMJMZHE@WSRIJFLR.com"	1	0
"XMRRBDIEMJF@DXACHD.com"	1	1
"CFUJCQNSCX@YPPPHWEV.com"	1	0
"JXQHZXIOJISF@YDTFVNP.com"	1	0
"WEOPJJDLMYM@WJPTVAFH.com"	1	0
"BCABLGZKMDI@KJWQXKL.com"	1	0
"ROFUDPNMTO@PFHRHPF.com"	1	1
"CFMEBAYJEA@IWCSCC.com"	1	0
"HGQUBVPNMVF@GPVEF.com"	1	1
"NTZZBQSNXA@GGNSLENF.com"	1	0
"JDCMCKDIVYC@BFFBNS.com"	1	1
"AQBXNZZRQUAM@RJHPJSV.com"	1	1
"FIPYHZZZRDHJ@BYNAMAT.com"	1	1
"TPTOMMUFFP@AXPRCM.com"	1	0
"FLCUDSQBFYM@YYCNOOJL.com"	1	1
"NAZFBWPYKPHP@UKHXP.com"	1	1
"NSSMPBBVKPTL@VTGSH.com"	1	1
"MWKAGXRSJRKQ@NJCRF.com"	1	0
"KYGIHAXYTXDI@NCTHT.com"	1	0
"DVXRSEIXTYGJ@BOFBKGS.com"	1	1
"STYQSWMIRA@NIYLL.com"	1	1
"ZWNJAQMVKLJ@SFJUSC.com"	1	1
"PSOGGHAVLUT@UDDZUU.com"	1	1
"NGVOCMBOBG@OBOHNBP.com"	1	1
"QWHUUZQJVBK@LIGNI.com"	1	0
"UZCXUWFRGH@GGZYA.com"	1	0
"LSRQPORTCAF@JIWRFHG.com"	1	1
"CIZNBZMKBXZG@ZABRM.com"	1	0
"CCJXWPTFWLU@IBWDWNH.com"	1	0
"XKW.XKW@gmail.com"	1	0
"GIXISgarden@yahoo.com"	0	1
"NDXCSGLNEI@WIVGGZS.com"	1	1
"QDLVXAVZDTZD@MYTSD.com"	1	1
"FYIPRIQZHPUP@VVKCDMOQ.com"	0	1
"NXPXHTWOSFC@FXOSOMES.com"	1	0
"SCAVIMABBMK@METSFZ.com"	1	0
"FZGQLKMPST@FVLYPPF.com"	0	1
"FKXJNELHSG@QBBBY.com"	1	0
"FXLNDQNBFB@BZVKB.com"	1	0
"YKTMEXDSPO@LKGZO.com"	1	1
"FBGFFWVLHRZJ@APTDZFR.com"	1	1
"SRQNYEVCRS@LUBTWZUU.com"	1	0
"DRNIOQLATCIR@KHWMRTW.com"	1	1
"CLKEYMLVXGI@LYUXMQXX.com"	1	0
"CPWNHHJEXV@ATOLNZLK.com"	1	1
"CKHEVIAZWW@CLBNVPR.com"	0	0
"KNWYKEJYQU@HNSIVMD.com"	1	0
"CRXBTDKAZW@FFUBCR.com"	0	0
"RTLYCGTJGVO@OSZRPKLY.com"	1	1
"BZVRJGDRDJZI@QYCEBHU.com"	0	0
"ADKZYUYQBA@TPQEVQ.com"	1	1
"BISYDSTPMB@RIUQDL.com"	1	1
"UMOBFJOKVXD@HMKWEWSY.com"	1	1
"LCZTGUPVTA@NVJXHSQ.com"	1	0
"CWFJCGERPD@OLTGV.com"	0	1
"XRRFXKTZVGP@ENUEEY.com"	1	1
"WTNTUFNXUPOW@TWYDWNYM.com"	1	0
"UZWEFANGWEI@SKFICQFI.com"	1	1
"DRUFBMUDLKC@JTLKP.com"	1	0
"landscaperRDP@yahoo.com"	0	1
"DGYZAXEFLY@LQPWT.com"	1	0
"KXSBPFYASGQK@PFIJKY.com"	0	0
"SIASFLRJAQ@ABETSBWA.com"	1	0
"MQEMVMVCEL@UZCJOV.com"	1	1
"GOGAXHIIAWO@KARBNAM.com"	1	0
"ZNOGELXGWJJ@PIKAG.com"	1	1
"LTSXVKZZXGPV@XTAOJ.com"	0	1
"RJFELSMHEIBA@CAIWRG.com"	1	1
"JWYAHPVUBXXH@ASFMNE.com"	1	0
"IJKSBMGHIO@YEQSC.com"	1	1
"IVWNWKCUSQE@KHUIJFV.com"	1	0
"SXRWXGEYWYKH@WYJXIEYG.com"	1	0
"JLEAUCWKXO@ZROVPFV.com"	0	1
"RSTD.RSTD@orchardPRGV.net"	0	0
"CGUBXVXBQON@JZRYTIM.com"	1	1
"NOJPPDXMSEPP@JNUYO.com"	1	0
"XTQLZKXOJVH@ZXYAA.com"	1	0
"DTV@yahoo.com"	1	1
"BAXZIBRQZQ@YDWXGOSE.com"	1	0
"OTOWX.OTOWX@plantsZYUD.com"	0	1
"QHHQADMBLO@MNMNUN.com"	1	0
"NAC@aol.com"	1	0
"PABMSSDLJBXG@EIYZJIJ.com"	1	1
"YAMCBLMGGURW@PZUGWDV.com"	0	0
"MUYHXKCZIMVS@EHDDXKVY.com"	1	0
"ZVEXZPYGGFJ@SGDUV.com"	1	1
"VISYHTPEUWTC@QSAFHQW.com"	1	0
"CRDXVRCRLS@CZVTIZB.com"	0	1
"KDVMQXJPOBJB@FPUHRBC.com"	1	1
"RQGOIQHNWM@TKLEB.com"	1	1
"NMQNMJTRWZAW@WLSOEZO.com"	1	1
"DXTRBHLDZA@GPOXE.com"	1	1
"YQNIGQYJYOUC@BJFKNO.com"	0	0
"DVGVMJWOMA@ATMFAX.com"	1	0
"MEMWZNLTGIG@XESJYS.com"	1	0
"CHFFTHFBTUI@UXKJJP.com"	0	0
"NTSRJCMVNQQN@KCFPSTZ.com"	1	1
"DIJMKJCVLJSZ@UZWHK.com"	1	0
"TPVVXQBHQNB@WMJGGD.com"	0	1
"MHSKZNIYUUYW@PEZQQT.com"	0	0
"OUVNTMLRKNA@LLYDTPO.com"	1	0
"AUDXLDGSBYS@FNKIFUAU.com"	1	1
"CTGOQDDBUE@VBQDR.com"	1	1
"FVORKIVIYDUQ@ROLAIDJF.com"	1	1
"RAFOFPNNSCN@KKENCHRN.com"	1	1
"LRBKMFBYSI@SGVNQKA.com"	1	0
"DDPYBMRFIK@AIEMYX.com"	0	0
"VKGFGAOMYLO@STXZH.com"	1	1
"JZXKZWPCUMPC@ONECIW.com"	1	1
"BVUCHIWQQIDO@TCQVJR.com"	1	0
"QBTUNJOQRD@XHJZZDW.com"	1	0
"SNPWARYNFG@SEMZCID.com"	1	1
"NKRTCXYULI@TQPVRSN.com"	1	1
"XVXAAXSJRIZE@DBOXUN.com"	1	0
